RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,38,26,402,Beaver Creek,Rock,43.57325,-96.37539,20,852.100000c,852.437500c,855.7375,857.9625,859.4375,,,,,,,,,,,,,,,,,,,,,,,
2,39,27,401,Ellsworth,Rock,43.54608,-96.09392,20,853.4625,858.237500c,858.7125,858.9875,859.712500c,,,,,,,,,,,,,,,,,,,,,,,
2,77,4D,,Minneota,Lyon,44.5588502,-95.9855862,20,851.0875,851.3375,852.25,853.550000c,853.800000c,,,,,,,,,,,,,,,,,,,,,,,
2,78,4E,,Jackson,Jackson,43.61364,-95.01053,20,851.075,851.325,851.8375,853.562500c,853.812500c,,,,,,,,,,,,,,,,,,,,,,,
2,79,4F,,Olivia,Renville,44.77635,-94.9897214,15,851.325,851.7125,852.2,853.237500c,853.387500c,,,,,,,,,,,,,,,,,,,,,,,
2,80,50,,Granite Falls,Chippewa,44.8099575,-95.5455752,20,851.1875,851.55,851.7625,853.575000c,853.825000c,,,,,,,,,,,,,,,,,,,,,,,
2,81,51,402,Montevideo,Chippewa,44.942457,-95.7236371,20,851.1625,851.5875,852.2125,853.337500c,853.725000c,,,,,,,,,,,,,,,,,,,,,,,
2,85,55,405,Danube,Renville,44.86158,-95.19017,20,851.925000c,853.475,853.8875,856.712500c,858.7375,859.7375,,,,,,,,,,,,,,,,,,,,,,
2,86,56,,Hector ,Renville,44.81856,-94.75272,20,851.425,851.75,852.387500c,852.8875,853.425000c,853.9125,,,,,,,,,,,,,,,,,,,,,,
2,87,57,,Morton,Renville,44.59808,-94.99481,20,851.3875,852.475,856.487500c,857.487500c,858.4875,859.4875,,,,,,,,,,,,,,,,,,,,,,
2,88,58,402,Lake Benton,Lincoln,44.26883,-96.31019,20,852.9125,853.475,856.7125,857.7125,858.737500c,859.737500c,,,,,,,,,,,,,,,,,,,,,,
2,89,59,,Russell,Lyon,44.31361,-95.9575,20,858.437500c,851.487500c,852.425,858.9375,859.9375,,,,,,,,,,,,,,,,,,,,,,,
2,90,5A,40F,Holland,Pipestone,44.11378,-96.10219,20,851.750000c,852.450000c,852.9625,858.4875,859.4875,,,,,,,,,,,,,,,,,,,,,,,
2,91,5B,,Tracy,Murray,44.16653,-95.62167,20,857.9875,856.9875,855.462500c,852.9875,852.487500c,,,,,,,,,,,,,,,,,,,,,,,
2,92,5C,403,Ivanhoe,Lincoln,44.53094,-96.26125,20,851.937500c,852.9375,853.4375,856.462500c,857.4625,858.2625,,,,,,,,,,,,,,,,,,,,,,
2,93,5D,,Canby,Yellow Medicine,44.79078,-96.22511,20,852.4625,853.462500c,858.462500c,858.7625,859.7625,,,,,,,,,,,,,,,,,,,,,,,
2,94,5E,,Clarkfield,Yellow Medicine,44.78414,-95.79389,20,859.4625,857.9375,856.937500c,853.4125,851.912500c,,,,,,,,,,,,,,,,,,,,,,,
2,95,5F,,Echo,Yellow Medicine,44.644,-95.44964,20,859.212500c,851.4125,852.4125,853.450000c,855.2375,,,,,,,,,,,,,,,,,,,,,,,
2,96,60,40B,Madison,Lac Qui Parle,45.00917,-96.17778,20,851.425,852.4,853.875,855.212500c,857.212500c,,,,,,,,,,,,,,,,,,,,,,,
2,97,61,,Granite Falls ,Chippewa,44.89528,-95.55542,20,856.262500c,851.45,852.975000c,857.2625,858.2375,,,,,,,,,,,,,,,,,,,,,,,
2,98,62,40a,Milan,Chippewa,45.10097,-95.81664,20,853.500000c,851.95,852.4875,852.9,859.262500c,,,,,,,,,,,,,,,,,,,,,,,
2,99,63,,Clara City,Chippewa,45.08053,-95.36067,20,851.887500c,853.1,853.375,854.9875,855.487500c,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,,Arlington,Sibley,44.6082967,-94.0805278,20,851.225,851.650000c,853.15,855.612500c,859.1125,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,,Amherst,Fillmore,43.66619,-91.93103,20,858.937500c,851.487500c,851.9375,852.9375,857.2375,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,40B,Caledonia,Houston,43.66875,-91.40419,20,858.437500c,852.125,857.9375,858.7625,859.2375,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,,New Richland,Waseca,43.8938493,-93.4938287,20,854.287500c,854.5375,854.6875,857.4625,858.7375,859.7375,,,,,,,,,,,,,,,,,,,,,,
3,5,5,,Elkton,Mower,43.65836,-92.68869,20,856.237500c,852.1,857.7125,858.7125,859.4375,857.4375,859.0875,,,,,,,,,,,,,,,,,,,,,
3,6,6,,Austin,Mower,43.6666296,-92.9746367,20,851.7125,851.9125,852.962500c,852.7875,852.4875,852.125,,,,,,,,,,,,,,,,,,,,,,
3,7,7,,Ellendale,Freeborn,43.8175,-93.29278,20,856.262500c,856.7625,857.2625,858.2625,859.2625,852.2875,,,,,,,,,,,,,,,,,,,,,,
3,8,8,,Madelia,Watonwan,44.057650225263,-94.416417111719,25,854.612500c,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,9,,Lonsdale,Rice,44.52917,-93.40806,20,852.300000c,851.375000c,853.675,852.875,852.55,851.975000c,,,,,,,,,,,,,,,,,,,,,,
3,10,A,407,Money Creek,Houston,43.81089,-91.64475,20,855.737500c,851.4125,851.9125,852.9125,853.4125,,,,,,,,,,,,,,,,,,,,,,,
3,11,B,,Waseca,Waseca,44.0777409,-93.5074426,20,851.575,851.937500c,852.175,852.325,852.95,853.387500c,,,,,,,,,,,,,,,,,,,,,,
3,12,C,,Austin,Freeborn,43.662,-93.11439,20,859.762500c,860.2375,860.4375,860.7125,860.9625,852.2625,,,,,,,,,,,,,,,,,,,,,,
3,14,E,,Rolling Stone,Winona,44.10308,-91.85489,20,851.6625,859.9625,859.2625,857.2625,852.875,856.712500c,,,,,,,,,,,,,,,,,,,,,,
3,15,F,405,Troy - Utica,Winona,43.88278,-92.00308,20,855.462500c,856.4875,856.7625,858.2625,859.9875,853.075,,,,,,,,,,,,,,,,,,,,,,
3,17,11,,Wilson,Winona,43.96211,-91.68761,20,853.5375,860.7375,860.4375,859.7625,858.9875,859.937500c,,,,,,,,,,,,,,,,,,,,,,
3,18,12,,Wykoff,Fillmore,43.65931,-92.29967,20,859.7125,858.7375,858.2375,857.7625,856.937500c,,,,,,,,,,,,,,,,,,,,,,,
3,19,13,,Sleepy Eye,Brown,44.2971832,-94.7241498,20,854.0625,854.212500c,854.3875,854.562500c,857.0125,858.0875,,,,,,,,,,,,,,,,,,,,,,
3,20,14,,Waterville,Le Sueur,44.25392,-93.59983,20,852.2,852.350000c,853.875,851.45,853.175,853.475,851.9,,,,,,,,,,,,,,,,,,,,,
3,21,15,,Elba,Winona,44.06633,-92.02042,20,851.2125,859.4625,858.4625,857.4625,851.975,856.462500c,,,,,,,,,,,,,,,,,,,,,,
3,22,16,,Comfrey,Brown,44.10756,-94.86039,20,851.9375,853.437500c,856.9625,857.962500c,859.2375,852.925,,,,,,,,,,,,,,,,,,,,,,
