RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90,5A,40B,Battle Lake,Otter Tail,46.187,-95.70783,20,855.712500c,851.4,852.450000c,854.9875,856.9625,851.15,,,,,,,,,,,,,,,,,,,,,,
4,91,5B,404,Erhard,Otter Tail,46.47406,-96.04806,20,858.437500c,851.4625,852.462500c,857.9625,859.4375,851.7875,,,,,,,,,,,,,,,,,,,,,,
4,92,5C,401,Fergus Falls,Otter Tail,46.25911,-95.98094,20,856.262500c,851.375,853.9125,857.2625,858.987500c,851.5875,,,,,,,,,,,,,,,,,,,,,,
4,93,5D,,Parkers Prairie,Otter Tail,46.143083,-95.3843055,20,851.900000c,852.4875,853.425,857.9875,859.987500c,852.275,,,,,,,,,,,,,,,,,,,,,,
4,94,5E,40A,Luce,Otter Tail,46.64278,-95.67389,20,852.100000c,851.4375,851.9375,852.412500c,855.2375,853.3625,,,,,,,,,,,,,,,,,,,,,,
4,95,5F,409,New York Mills,Otter Tail,46.54278,-95.44933,20,851.9625,852.9625,853.462500c,858.2125,859.712500c,852.3,,,,,,,,,,,,,,,,,,,,,,
4,96,60,,Amor,Otter Tail,46.390194,-95.7460277,20,853.4,856.487500c,857.487500c,858.4875,859.4875,853.7375,,,,,,,,,,,,,,,,,,,,,,
4,97,61,405,Hewitt,Todd,46.356111,-95.1072222,20,851.425000c,851.875,856.4375,856.9875,857.437500c,851.1125,,,,,,,,,,,,,,,,,,,,,,
4,98,62,,Sebeka,Wadena,46.65331,-95.01775,20,851.45,852.4,852.875000c,858.462500c,858.7625,,,,,,,,,,,,,,,,,,,,,,,
4,99,63,,Aldrich,Wadena,46.438361,-94.9020833,20,851.475,852.4375,852.937500c,853.437500c,855.7375,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,,Backus,Cass,46.80936,-94.64008,20,851.912500c,852.4625,853.475,855.212500c,856.4625,851.5625,,,,,,,,,,,,,,,,,,,,,,
5,2,2,404,Leader,Cass,46.55186,-94.52069,20,851.950000c,852.9125,853.412500c,853.875,859.2125,851.35,,,,,,,,,,,,,,,,,,,,,,
5,3,3,,Hackensack,Cass,47.01106,-94.36831,20,852.4125,853.400000c,853.9125,854.987500c,856.7375,851.575,,,,,,,,,,,,,,,,,,,,,,
5,4,4,,Cass Lake,Cass,47.19889,-94.62611,20,857.6875,856.6875,858.4375,857.962500c,857.7375,856.4875,851.387500c,,,,,,,,,,,,,,,,,,,,,
5,5,5,409,Remer,Cass,46.92208,-93.92172,20,851.875,856.437500c,858.2125,858.737500c,856.9875,851.3,852.1125,,,,,,,,,,,,,,,,,,,,,
5,6,6,40A,Logan,Aitkin,46.66911,-93.64992,20,851.4,852.4375,852.9375,853.450000c,856.762500c,,,,,,,,,,,,,,,,,,,,,,,
5,7,7,,Glen,Aitkin,46.45694,-93.51483,20,859.737500c,857.7375,857.4375,853.5,851.450000c,,,,,,,,,,,,,,,,,,,,,,,
5,8,8,406,Lawler,Aitkin,46.53386,-93.13144,20,855.237500c,853.3875,852.8875,851.9375,853.912500c,,,,,,,,,,,,,,,,,,,,,,,
5,9,9,,McGregor,Aitkin,46.83975,-93.26378,20,851.900000c,852.4,852.912500c,858.2375,858.9625,,,,,,,,,,,,,,,,,,,,,,,
5,10,A,405,McGrath,Aitkin,46.33322,-93.22253,20,851.9125,852.4125,854.9875,856.487500c,857.962500c,,,,,,,,,,,,,,,,,,,,,,,
5,11,B,,Pike Bay,Cass,47.34233,-94.48908,20,851.437500c,851.9,857.2125,858.7125,858.962500c,,,,,,,,,,,,,,,,,,,,,,,
5,12,C,,Bena,Cass,47.333603,-94.210705,20,851.475,851.937500c,855.2375,859.4375,857.712500c,859.9875,,,,,,,,,,,,,,,,,,,,,,
5,13,D,,Hill City,Aitkin,46.9625,-93.58694,20,856.237500c,852.875,857.4625,859.2375,857.937500c,,,,,,,,,,,,,,,,,,,,,,,
5,14,E,,Emily,Crow Wing,46.68083,-93.93833,20,858.987500c,855.7125,857.9875,858.4875,859.4625,858.675000c,851.6875,852.3375,,,,,,,,,,,,,,,,,,,,
5,16,10,402,Baxter,Crow Wing,46.34708,-94.23947,20,859.7625,858.7125,857.7125,852.950000c,852.3875,857.212500c,851.7625,,,,,,,,,,,,,,,,,,,,,
5,17,11,409,Garrison,Crow Wing,46.27867,-93.85747,20,852.487500c,851.4875,851.9875,852.900000c,859.9875,851.6625,852.2625,,,,,,,,,,,,,,,,,,,,,
5,18,12,406,Jenkins,Crow Wing,46.614964,-94.305376,20,851.375,852.975000c,856.2625,857.2625,858.262500c,851.7,853.6875,,,,,,,,,,,,,,,,,,,,,
5,19,13,,Moose Lake Lookout,Carlton,46.44753,-92.80994,20,851.3875,852.3875,856.9375,858.937500c,859.9375,859.212500c,852.200000c,852.387500c,854.1875,854.6375,,,,,,,,,,,,,,,,,,
5,20,14,,Mahtowa,Carlton,46.59194,-92.65864,20,859.212500c,852.4625,853.475,858.4625,858.262500c,854.0625,854.3125,,,,,,,,,,,,,,,,,,,,,
5,21,15,40C,International Falls,Koochiching,48.573,-93.32264,20,851.1125,851.862500c,852.662500c,853.2,854.4125,,,,,,,,,,,,,,,,,,,,,,,
5,22,16,,Big Falls,Koochiching,48.21853,-94.05336,20,854.2375,853.2125,852.95,852.137500c,851.237500c,,,,,,,,,,,,,,,,,,,,,,,
5,23,17,,Border,Koochiching,48.69589,-94.27789,20,853.375,852.762500c,852.387500c,851.9375,851.4125,,,,,,,,,,,,,,,,,,,,,,,
5,24,18,405,Mizpah,Koochiching,48.01311,-94.05703,20,852.4125,853.625000c,853.45,851.812500c,851.1875,,,,,,,,,,,,,,,,,,,,,,,
5,25,19,406,Northome,Koochiching,47.86544,-94.31411,20,851.375000c,853.475,854.0625,852.037500c,853.1125,,,,,,,,,,,,,,,,,,,,,,,
5,26,1A,,Little Fork,Koochiching,48.38917,-93.55,20,854.362500c,853.3875,853.100000c,852.0625,851.0625,,,,,,,,,,,,,,,,,,,,,,,
5,27,1B,,Loman,Koochiching,48.550821,-93.819105,20,854.162500c,853.8875,853.462500c,852.975,851.2875,,,,,,,,,,,,,,,,,,,,,,,
5,28,1C,,Margie,Koochiching,48.13058,-93.71769,20,851.887500c,852.7125,853.1625,853.662500c,854.3125,,,,,,,,,,,,,,,,,,,,,,,
5,29,1D,403,Boise Fort  Lookout ,Koochiching,48.12686,-93.30244,20,851.3375,851.7875,852.875,853.487500c,854.262500c,,,,,,,,,,,,,,,,,,,,,,,
5,30,1E,,Floodwood,St. Louis,47.05472,-92.92653,20,853.4125,857.2625,858.437500c,855.4625,859.262500c,,,,,,,,,,,,,,,,,,,,,,,
5,31,1F,,Sax,St. Louis,47.26436,-92.69489,20,851.9125,855.712500c,857.987500c,858.4875,858.9875,,,,,,,,,,,,,,,,,,,,,,,
5,32,20,,Brookston,St. Louis,46.83394,-92.71508,20,851.475000c,852.975,857.2125,855.2125,859.437500c,,,,,,,,,,,,,,,,,,,,,,,
5,33,21,,Moose Lake - Prison,Carlton,46.438,-92.755,10,855.962500c,856.2375,856.7625,857.9875,857.7125,859.7625,,,,,,,,,,,,,,,,,,,,,,
5,34,22,,Pillager,Cass,46.4225,-94.46167,20,859.687500c,858.687500c,852.6875,853.2375,851.3625,851.925,853.7,,,,,,,,,,,,,,,,,,,,,
5,35,23,,Walker,Cass,47.09336,-94.58,20,853.800000c,853.550000c,853.1875,852.825,852.075,851.6375,851.1625,851.1375,,,,,,,,,,,,,,,,,,,,
5,36,24,401,Crosby,Crow Wing,46.46622,-93.95892,20,851.325,851.6125,852.3625,852.675,852.925,853.150000c,853.850000c,,,,,,,,,,,,,,,,,,,,,
5,40,28,,Cook Co. Simulcast,Cook,47.83,-90.3,45,851.2125,851.4375,851.7875,852.0875,852.4375,852.7375,853.075000c,854.162500c,,,,,,,,,,,,,,,,,,,,
5,41,29,,Pine Co. Simulcast,Pine,46.0832758,-92.73,35,855.7125,856.4375,856.987500c,857.9375,858.487500c,858.7375,858.9875,859.4875,,,,,,,,,,,,,,,,,,,,
5,43,2B,,Duluth Simulcast,St. Louis,46.8,-92.25,25,856.462500c,851.775,851.987500c,852.175,852.487500c,851.2875,852.625,853.0875,853.5875,853.8375,853.8625,857.4875,,,,,,,,,,,,,,,,
5,44,2C,400,Itasca Co. Simulcast,Itasca,47.3,-93.5,50,852.750000c,851.4125,852.1625,852.600000c,852.9,853.175,853.35,853.575,,,,,,,,,,,,,,,,,,,,
5,45,2D,40D,Virginia Simulcast,St. Louis,47.6,-92.47,40,851.2375,851.4625,852.1375,853.05,854.037500c,854.287500c,854.5125,854.7125,,,,,,,,,,,,,,,,,,,,
5,46,2E,,Lake Co. Simulcast,Lake,47.575,-91.4,48,851.162500c,852.1625,852.3875,852.675,852.925,853.4,854.087500c,,,,,,,,,,,,,,,,,,,,,
5,47,2F,407,Aitkin,Aitkin,46.505889,-93.710833,20,851.175,851.5375,851.787500c,853.7625,854.362500c,,,,,,,,,,,,,,,,,,,,,,,
5,65,41,,Shaw,St. Louis,47.09667,-92.34278,20,857.437500c,851.45,852.4125,853.500000c,857.2375,,,,,,,,,,,,,,,,,,,,,,,
5,66,42,40A,Wrenshall,Carlton,46.61528,-92.37167,20,851.375,851.750000c,852.1,852.225,852.725,852.775000c,853.05,853.125,,,,,,,,,,,,,,,,,,,,
5,67,43,,Molde - Duluth North,St. Louis,47.0191662,-91.833486,20,856.2625,851.9,853.3875,855.2375,859.462500c,858.962500c,,,,,,,,,,,,,,,,,,,,,,
5,68,44,401,Cromwell,Carlton,46.6807803,-92.8840939,20,854.112500c,854.6875,854.4125,856.0875,857.0125,,,,,,,,,,,,,,,,,,,,,,,
5,70,46,400,Duluth,St. Louis,46.78578,-92.09415,15,855.9875,856.2125,856.7375,857.087500c,859.962500c,,,,,,,,,,,,,,,,,,,,,,,
5,75,4B,40C,Olgilvie,Kanabec,45.8905,-93.44142,20,853.3125,853.075000c,853.875000c,851.375,851.95,852.75,,,,,,,,,,,,,,,,,,,,,,
5,76,4C,407,Woodland,Kanabec,46.11611,-93.28861,20,852.450000c,854.5125,857.4875,859.2625,859.712500c,,,,,,,,,,,,,,,,,,,,,,,
5,78,4E,,Ely,St. Louis,47.90292,-91.80436,20,851.375000c,853.4875,853.9,854.2625,852.487500c,852.25,,,,,,,,,,,,,,,,,,,,,,
5,81,51,,Line Lake,St. Louis,47.15744,-92.08364,20,853.9125,858.2125,856.4375,856.487500c,859.2375,852.125,,,,,,,,,,,,,,,,,,,,,,
5,82,52,,Palo,St. Louis,47.38289,-92.1395,20,851.3125,852.475,852.087500c,852.737500c,853.2625,851.725,,,,,,,,,,,,,,,,,,,,,,
5,83,53,,Brimson,St. Louis,47.34522,-91.84606,20,851.137500c,852.6875,852.9125,853.4625,854.387500c,,,,,,,,,,,,,,,,,,,,,,,
5,88,58,407,Vermillion Dam,St. Louis,47.96989,-92.47711,20,851.1875,851.4375,851.8125,852.937500c,854.137500c,,,,,,,,,,,,,,,,,,,,,,,
5,89,59,40E,Gheen Hill,St. Louis,47.97881,-92.83072,20,852.2,852.425000c,853.425000c,854.0625,854.6625,,,,,,,,,,,,,,,,,,,,,,,
5,90,5A,,Crane Lake,St. Louis,48.2275,-92.46989,20,854.2375,853.887500c,853.5,853.2125,851.762500c,,,,,,,,,,,,,,,,,,,,,,,
5,91,5B,409,Cusson,St. Louis,48.17986,-92.75031,20,851.0875,851.987500c,853.112500c,853.2875,854.3375,,,,,,,,,,,,,,,,,,,,,,,
5,92,5C,,Meander Lake,St. Louis,48.12089,-92.16067,20,852.712500c,852.975,853.1625,853.3875,853.6625,,,,,,,,,,,,,,,,,,,,,,,
5,93,5D,40B,Orr,St. Louis,48.35494,-93.00961,20,851.2125,852.725000c,852.9625,853.137500c,854.1125,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,,Lake Bronson,Kittson,48.71725,-96.60536,20,851.162500c,851.9625,852.8875,853.1,854.087500c,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,407,Lancaster,Kittson,48.91858,-96.65364,20,851.8375,852.675,853.15,854.187500c,854.387500c,,,,,,,,,,,,,,,,,,,,,,,
6,3,3,,Northcote,Kittson,48.83833,-96.93161,20,854.2375,853.5,853.125000c,852.137500c,851.2375,,,,,,,,,,,,,,,,,,,,,,,
6,4,4,,Donaldson,Marshall,48.54292,-96.83036,20,851.862500c,854.6875,854.4125,853.3875,851.112500c,,,,,,,,,,,,,,,,,,,,,,,
6,5,5,40c,Greenbush,Roseau,48.74217,-96.08506,20,851.2125,852.7375,852.912500c,853.262500c,854.3375,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,,Juneberry,Roseau,48.84925,-96.40406,20,851.037500c,851.9125,852.1625,853.4,854.287500c,,,,,,,,,,,,,,,,,,,,,,,
6,7,7,,Roseau,Roseau,48.84592,-95.83878,20,853.2875,853.075,851.762500c,851.4875,851.287500c,,,,,,,,,,,,,,,,,,,,,,,
6,8,8,,Warroad,Roseau,48.84703,-95.39756,20,853.500000c,852.975000c,852.6625,851.8625,851.1125,,,,,,,,,,,,,,,,,,,,,,,
6,9,9,,Faunce,Lake Of The Woods,48.59869,-94.968,20,851.787500c,852.6875,852.937500c,853.2,853.875,,,,,,,,,,,,,,,,,,,,,,,
6,10,A,,Roosevelt,Lake Of The Woods,48.78889,-95.05,20,854.137500c,853.625,853.475,852.9,851.187500c,,,,,,,,,,,,,,,,,,,,,,,
6,11,B,,Baudette,Lake Of The Woods,48.67192,-94.64769,20,851.3125,851.4375,851.837500c,853.425000c,854.2875,,,,,,,,,,,,,,,,,,,,,,,
6,12,C,,Carp,Lake Of The Woods,48.45489,-94.56011,20,853.9,853.400000c,853.2625,852.9125,852.737500c,,,,,,,,,,,,,,,,,,,,,,,
6,13,D,,Lude,Lake Of The Woods,48.91575,-94.96764,20,851.0625,852.062500c,853.3875,853.9125,854.412500c,,,,,,,,,,,,,,,,,,,,,,,
6,14,E,,Skime,Roseau,48.59742,-95.46675,20,851.4625,852.0375,852.875,853.112500c,854.062500c,,,,,,,,,,,,,,,,,,,,,,,
6,15,F,,Gatzke,Marshall,48.49481,-95.73214,20,854.1625,853.1375,852.65,851.812500c,851.137500c,,,,,,,,,,,,,,,,,,,,,,,
6,16,10,404,Angus,Polk,48.03408,-96.65014,20,852.3875,853.8875,858.262500c,859.2375,856.962500c,,,,,,,,,,,,,,,,,,,,,,,
6,17,11,401,Crookston,Polk,47.7625,-96.61722,20,852.4875,856.4375,854.962500c,855.9625,858.987500c,,,,,,,,,,,,,,,,,,,,,,,
6,18,12,406,East Grand Forks,Polk,47.93189,-96.98108,20,851.375,851.875,857.2625,857.437500c,857.762500c,,,,,,,,,,,,,,,,,,,,,,,
6,19,13,40f,Eldred,Polk,47.64019,-96.81569,20,851.412500c,851.725,852.975,853.500000c,858.9375,,,,,,,,,,,,,,,,,,,,,,,
6,20,14,40a,Ada,Norman,47.29633,-96.64822,20,851.95,853.900000c,855.737500c,856.9875,859.2625,,,,,,,,,,,,,,,,,,,,,,,
6,21,15,404,Flaming,Norman,47.46772,-96.34564,20,852.4625,858.237500c,859.487500c,857.9625,858.4375,,,,,,,,,,,,,,,,,,,,,,,
6,22,16,40B,Flom,Norman,47.17758,-96.15336,20,851.45,852.35,852.725000c,853.175,853.912500c,,,,,,,,,,,,,,,,,,,,,,,
6,23,17,402,Marcoux,Polk,47.68819,-96.28111,20,851.4625,852.4375,858.487500c,856.2375,859.962500c,,,,,,,,,,,,,,,,,,,,,,,
6,24,18,407,Moorhead,Clay,46.89358,-96.73831,20,851.425,852.45,853.450000c,856.762500c,857.7625,858.7625,859.7625,855.4875,859.9625,,,,,,,,,,,,,,,,,,,
6,25,19,,Cormorant,Becker,46.75958,-96.02439,20,854.9625,856.737500c,857.7375,858.7375,859.737500c,853.5375,,,,,,,,,,,,,,,,,,,,,,
6,26,1A,406,Hawley,Clay,46.87667,-96.24472,20,851.475000c,857.987500c,851.9,853.475,859.9875,,,,,,,,,,,,,,,,,,,,,,,
6,27,1B,409,Felton,Clay,47.06389,-96.58617,20,852.2,852.4,853.425000c,856.9375,859.937500c,,,,,,,,,,,,,,,,,,,,,,,
6,28,1C,,Berner,Clearwater,47.97686,-95.39764,20,853.9125,856.9375,858.937500c,859.2625,859.937500c,,,,,,,,,,,,,,,,,,,,,,,
6,29,1D,40E,Trail,Polk,47.768,-95.66528,20,858.4625,854.9875,857.987500c,859.987500c,851.475,,,,,,,,,,,,,,,,,,,,,,,
6,30,1E,40a,Warren,Marshall,48.27925,-96.80439,20,852.037500c,852.450000c,853.9125,854.3125,854.7375,,,,,,,,,,,,,,,,,,,,,,,
6,31,1F,,Bemidji West,Beltrami,47.5012,-94.93842,20,851.4,851.75,851.925000c,852.300000c,853.125,,,,,,,,,,,,,,,,,,,,,,,
6,32,20,400,Amenia (ND),Cass,47.0049744,-97.2189763,20,851.125,852.287500c,853.875000c,856.487500c,858.4875,,,,,,,,,,,,,,,,,,,,,,,
6,33,21,400,Buffalo (ND),Cass,46.9196986,-97.5495386,20,854.9625,856.2625,856.7375,856.9625,857.262500c,,,,,,,,,,,,,,,,,,,,,,,
6,34,22,400,Alice (ND),Cass,46.7619199,-97.5559299,20,857.9625,858.2375,858.4375,859.487500c,859.7375,,,,,,,,,,,,,,,,,,,,,,,
6,35,23,400,Gardner (ND),Cass,47.1471966,-96.9678613,20,855.2375,857.4875,858.2625,858.9625,859.437500c,,,,,,,,,,,,,,,,,,,,,,,
6,36,24,400,Kindred (ND),Cass,46.64944,-97.02417,25,852.9125,854.062500c,855.962500c,857.137500c,859.237500c,,,,,,,,,,,,,,,,,,,,,,,
6,40,28,400,Fargo (ND) Simulcast,Cass,46.75,-96.82,30,851.3875,851.6375,852.125,852.375,852.625,852.875,853.125000c,853.375000c,853.637500c,853.812500c,,,,,,,,,,,,,,,,,,
6,65,41,,Rochert,Becker,46.90639,-95.78917,20,851.725,851.975000c,852.475000c,852.975,853.5,,,,,,,,,,,,,,,,,,,,,,,
6,66,42,403,Detroit Lakes,Becker,46.82272,-95.86086,20,853.887500c,852.387500c,855.9625,858.2625,858.9625,851.5375,,,,,,,,,,,,,,,,,,,,,,
6,67,43,,White Earth,Becker,47.14617,-95.86917,20,852.175000c,852.650000c,853.1,856.9625,859.2375,,,,,,,,,,,,,,,,,,,,,,,
6,68,44,404,Snellman,Becker,46.85689,-95.35844,20,859.262500c,852.9,853.387500c,857.462500c,859.4625,,,,,,,,,,,,,,,,,,,,,,,
6,69,45,405,Nevis,Hubbard,46.90789,-94.91775,20,851.4875,851.987500c,856.937500c,858.9375,859.9375,,,,,,,,,,,,,,,,,,,,,,,
6,70,46,40B,Mantrap,Hubbard,47.15258,-95.141,20,856.7625,857.2375,853.425,859.762500c,852.200000c,,,,,,,,,,,,,,,,,,,,,,,
6,71,47,,Kabekona Lookout,Hubbard,47.21622,-94.87769,20,859.4875,858.2375,853.45,851.800000c,851.462500c,,,,,,,,,,,,,,,,,,,,,,,
6,72,48,400,Juggler Lake,Becker,47.14467,-95.45236,20,856.712500c,851.4125,853.075000c,857.7125,858.9875,,,,,,,,,,,,,,,,,,,,,,,
6,73,49,,Winger,Polk,47.55756,-96.01419,20,851.962500c,852.4125,852.962500c,856.4875,855.9875,,,,,,,,,,,,,,,,,,,,,,,
6,74,4A,409,Mahnomen,Mahnomen,47.22758,-95.78356,20,857.4375,857.2625,856.262500c,851.875000c,851.375,,,,,,,,,,,,,,,,,,,,,,,
6,75,4B,40D,Lengby,Mahnomen,47.49175,-95.60428,20,852.45,853.4,859.212500c,859.437500c,857.7625,,,,,,,,,,,,,,,,,,,,,,,
6,76,4C,407,Shevlin,Clearwater,47.42044,-95.22653,20,852.487500c,856.987500c,851.95,852.9125,856.4375,,,,,,,,,,,,,,,,,,,,,,,
6,77,4D,406,Bagley,Clearwater,47.60514,-95.42581,20,858.762500c,858.212500c,857.4875,853.4625,852.1,,,,,,,,,,,,,,,,,,,,,,,
6,78,4E,40D,Hines,Beltrami,47.69211,-94.62264,20,859.237500c,857.9375,856.2375,853.3875,852.875000c,,,,,,,,,,,,,,,,,,,,,,,
6,79,4F,,Island Lake,Beltrami,47.75133,-95.02439,20,852.3875,852.975,853.8875,855.962500c,858.262500c,,,,,,,,,,,,,,,,,,,,,,,
6,80,50,409,Bemidji Fire Tower,Beltrami,47.47017,-94.82175,20,852.4375,852.9375,854.55375,855.712500c,858.4875,859.712500c,,,,,,,,,,,,,,,,,,,,,,
6,81,51,,Suam,Beltrami,47.96447,-94.67433,20,854.112500c,853.4125,852.725,851.9875,851.212500c,,,,,,,,,,,,,,,,,,,,,,,
6,82,52,,Thorhult,Beltrami,48.22967,-95.25036,20,851.8875,852.712500c,853.1625,853.6625,854.312500c,,,,,,,,,,,,,,,,,,,,,,,
6,83,53,,Waskish,Beltrami,48.20733,-94.43781,20,854.337500c,853.287500c,853.075,851.7625,851.0875,,,,,,,,,,,,,,,,,,,,,,,
6,84,54,,Red Lake,Beltrami,47.86,-95.04,20,851.337500c,852.087500c,852.9625,853.4875,854.2625,,,,,,,,,,,,,,,,,,,,,,,
6,85,55,,Holt ,Marshall,48.241,-95.89639,20,851.4125,852.7625,852.925,853.375000c,851.937500c,,,,,,,,,,,,,,,,,,,,,,,
6,86,56,,Middle River,Marshall,48.44333,-96.07944,20,854.1125,853.9,853.412500c,851.9875,851.087500c,,,,,,,,,,,,,,,,,,,,,,,
6,87,57,,Strandquist,Marshall,48.43425,-96.498,20,851.7875,852.0875,853.4875,853.875000c,854.262500c,,,,,,,,,,,,,,,,,,,,,,,
6,88,58,,Grygla,Marshall,48.20208,-95.61461,20,851.2375,852.1375,852.95,853.212500c,854.237500c,,,,,,,,,,,,,,,,,,,,,,,
6,89,59,,Oklee,Pennington,48.01939,-95.78892,20,856.212500c,857.237500c,851.4375,851.8,853.45,,,,,,,,,,,,,,,,,,,,,,,
6,90,5A,,Thief River Falls,Pennington,48.115,-96.18889,20,853.625,852.900000c,852.2,852.0625,851.312500c,,,,,,,,,,,,,,,,,,,,,,,
6,91,5B,,Red Lake Falls,Red Lake,47.93472,-96.33231,20,855.212500c,855.7125,857.212500c,856.7125,859.7625,851.212500c,,,,,,,,,,,,,,,,,,,,,,
6,92,5C,,Plummer,Red Lake,47.89928,-96.09625,20,855.462500c,851.9,853.475000c,857.9375,858.9625,,,,,,,,,,,,,,,,,,,,,,,
6,93,5D,,Site 93,Becker,46.8171809,-95.8453253,20,851.337500c,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,94,5E,,Site 94,Beltrami,47.4735633,-94.8802767,20,856.262500c,,,,,,,,,,,,,,,,,,,,,,,,,,,
